num; time; angle; duration; errorX; errorY 
1;769;1.5039921118432957;400;0.18867075239707176;0.36453053468681557
2;849;1.0028689827908428;400;0.04468234700492013;-0.03273355334150818
3;784;0.1501083374649254;400;-0.06380150262639706;0.11431256427328618
4;674;1.4220590190909577;400;-0.04456607419016917;0.06505811378965148
5;686;1.5240062349124261;400;-0.02277496950287561;0.4101527042853941
6;748;0.3135972662926445;400;-0.017220067572739306;0.12466573497382127
7;627;0.16686606251164296;400;-0.011209151998862077;-0.009136760336106303
8;702;0.04512649281275913;400;0.006023413087143381;0.23357011633517843
9;606;0.7309522358104867;400;-0.18901723246591318;0.12325193103747767
10;768;0.5855375415211205;400;0.0018265299307125282;0.04552505886583014
11;689;0.9363569632604787;400;-0.013452475066941472;0.1342742337551499
12;649;1.359782670651042;400;0.05552281135953657;-0.3060800686932612
13;501;0.8491571409728356;400;-0.019205555126660723;-0.07749730356297585
14;721;1.0406568763516764;400;0.052663466684606086;0.0032091267645799615
15;669;0.9683939693706046;400;0.13508810534087223;-0.1739974061318294
16;554;0.5427216392333606;400;-0.09472178063888226;0.14448954809418169
17;614;1.488531070223319;400;0.04045102166938486;-0.016255746722457998
18;926;0.8814043353177481;400;-0.013782251217381192;0.16851018835538029
19;698;0.23649426126839013;400;-0.021691933493038884;-0.13998690297374483
20;627;0.5678150510562269;400;0.0009806831209920874;0.08446488783732789
21;666;0.11744240043221646;400;-0.04127336031421369;0.12009985740878215
22;569;0.6850142985673392;400;-0.163575285514317;0.06996322916906503
23;468;1.2445064125868035;400;-0.2913598700151152;-0.25253996858103045
24;716;0.516063065354829;400;-0.08011653613624709;-0.15185662820366186
25;469;0.2706271845536883;400;0.030547180130421736;-0.26665058618926885
26;949;0.05523100509637288;400;-0.007293722145699788;-0.024485863121548546
27;677;0.05303842763008487;400;0.048673013524677344;-0.018433318510096552
28;618;0.5717195874467698;400;0.03315590399307733;-0.20377306638079945
29;575;0.8247984509384583;400;-0.23627075488056704;-0.1771215790341486
30;802;0.7797238397390024;400;-0.10173316254251952;-0.005244074025547274
31;814;0.8325333916236262;400;-0.13451455510946886;0.0592598012378005
32;626;0.7295348165369642;400;-0.11344511461317242;0.017975711151614338
33;569;0.29063532851801577;400;0.021470820834774418;0.006405316755621976
34;641;0.08754559953857502;400;-0.19081778286545537;-0.06645994047465642
35;483;0.25400624853096304;400;-0.2719473572275436;-0.0923265336170449
36;940;1.3696154197732495;400;-0.06986682734530059;-0.2502085344230732
37;1050;1.5040900576467815;400;-0.35274616691305605;-0.04952453017878278
38;585;0.3116756687959565;400;0.06344662797593192;-0.1441395150904926
